Latitude,Longitude,Zone,Amenity
45.4531121,9.254386,zone4,fuel
45.46077,9.229031,zone4,fuel
45.43588,9.23171,zone4,fuel
45.456002,9.2264461,zone4,fuel
45.4569156,9.2411137,zone4,fuel
45.4654499,9.2352214,zone4,fuel
45.433741,9.261914,zone4,fuel
45.467475,9.225426,zone4,fuel
45.4514986,9.2177751,zone4,fuel
45.4394309,9.2247753,zone4,fuel
45.4496715,9.253031,zone4,fuel
45.4361376,9.2330093,zone4,fuel
45.424426,9.25258,zone4,fuel
45.456029,9.2300879,zone4,fuel
45.4524328,9.2482719,zone4,fuel
45.4243652,9.2496813,zone4,fuel
45.465993,9.226917,zone4,fuel
45.4501284,9.237563,zone4,recycling
45.4676802,9.2100342,zone4,pharmacy
45.4675161,9.213487,zone4,pharmacy
45.4675139,9.2152835,zone4,telephone
45.4676961,9.2227017,zone4,clinic
45.4677821,9.2228676,zone4,telephone
45.4674835,9.2234299,zone4,pharmacy
45.4656535,9.2213141,zone4,cafe
45.4547927,9.2164769,zone4,pub
45.4541489,9.2159819,zone4,restaurant
45.4558756,9.2056971,zone4,restaurant
45.4377429,9.2202272,zone4,drinking_water
45.4642402,9.2647178,zone4,toilets
45.4403912,9.2245851,zone4,pharmacy
45.4579694,9.2130712,zone4,drinking_water
45.4661627,9.2158498,zone4,police
45.4417643,9.2192915,zone4,bank
45.4433678,9.21776,zone4,bank
45.4454268,9.2129678,zone4,bank
45.4482227,9.2217984,zone4,theatre
45.440611,9.2178811,zone4,theatre
45.4405617,9.2175278,zone4,library
45.4489554,9.2110082,zone4,restaurant
45.4616401,9.2079373,zone4,cinema
45.4509905,9.2241225,zone4,drinking_water
45.4623402,9.2165141,zone4,telephone
45.4571654,9.2426606,zone4,bank
45.4593923,9.2165519,zone4,drinking_water
45.4623167,9.2281249,zone4,drinking_water
45.4544307,9.2135749,zone4,restaurant
45.4534733,9.2154232,zone4,fast_food
45.4535888,9.2148764,zone4,cafe
45.4620731,9.21983,zone4,bar
45.4560476,9.2050227,zone4,restaurant
45.4593444,9.2079474,zone4,restaurant
45.4574286,9.2220273,zone4,pharmacy
45.4566161,9.2235358,zone4,bank
45.4421086,9.2304175,zone4,cafe
45.4612043,9.2118913,zone4,restaurant
45.4315575,9.2450366,zone4,post_office
45.436159,9.2406837,zone4,fast_food
45.4360737,9.2399615,zone4,restaurant
45.4320489,9.2441254,zone4,pharmacy
45.4358912,9.2402861,zone4,bar
45.4357481,9.2406348,zone4,pharmacy
45.4380288,9.2436236,zone4,pub
45.4369113,9.2418632,zone4,cafe
45.4455154,9.2431072,zone4,post_office
45.4350027,9.2357673,zone4,drinking_water
45.4299182,9.2574378,zone4,parking_entrance
45.4284698,9.2549158,zone4,parking_entrance
45.4282197,9.2545198,zone4,parking_entrance
45.4301452,9.257861,zone4,parking_entrance
45.429321,9.2576931,zone4,parking_entrance
45.4502614,9.2128248,zone4,parking_entrance
45.4417478,9.218683,zone4,parking
45.4557377,9.2173558,zone4,pharmacy
45.4522965,9.220793,zone4,pharmacy
45.4392043,9.2162831,zone4,cafe
45.4387658,9.2161785,zone4,cafe
45.4389314,9.2161303,zone4,cafe
45.4402649,9.2219958,zone4,post_office
45.4619892,9.2283974,zone4,restaurant
45.4628035,9.2275554,zone4,restaurant
45.4619632,9.2279965,zone4,restaurant
45.4624149,9.227407,zone4,bank
45.4619637,9.2276161,zone4,bank
45.4623323,9.2329266,zone4,restaurant
45.4638732,9.2279976,zone4,post_office
45.4619906,9.2289756,zone4,pharmacy
45.4624369,9.2327984,zone4,vending_machine
45.4623717,9.2102351,zone4,fast_food
45.4605052,9.2094385,zone4,pharmacy
45.4623849,9.2104889,zone4,pharmacy
45.462398,9.2078194,zone4,pharmacy
45.4650309,9.2114668,zone4,pharmacy
45.4633974,9.2303916,zone4,bar
45.4676397,9.2248773,zone4,restaurant
45.4551759,9.2125108,zone4,cafe
45.4537105,9.2156412,zone4,restaurant
45.4523127,9.2201994,zone4,post_box
45.4444758,9.2144425,zone4,pharmacy
45.4545359,9.2147232,zone4,parking
45.4545265,9.2145515,zone4,bench
45.4544985,9.2145669,zone4,bicycle_parking
45.439838,9.2214511,zone4,atm
45.4497746,9.2206042,zone4,bank
45.4510346,9.2247088,zone4,pharmacy
45.4499602,9.2067428,zone4,bicycle_rental
45.4621603,9.2124871,zone4,bicycle_rental
45.4635044,9.2079437,zone4,post_office
45.4281368,9.2543688,zone4,parking
45.4629733,9.2387909,zone4,parking
45.4302669,9.2579801,zone4,parking
45.4654403,9.2075164,zone4,pharmacy
45.4389616,9.2245824,zone4,restaurant
45.4525484,9.2151177,zone4,restaurant
45.4535211,9.2161289,zone4,restaurant
45.4550526,9.2158714,zone4,cafe
45.4523978,9.2146671,zone4,pub
45.4549764,9.2129948,zone4,post_office
45.4475113,9.2128998,zone4,parking_entrance
45.4480306,9.2131747,zone4,parking_entrance
45.4623071,9.2163984,zone4,taxi
45.4541446,9.2063806,zone4,theatre
45.4521321,9.203347,zone4,restaurant
45.434703,9.236079,zone4,bicycle_parking
45.458827,9.224495,zone4,bicycle_parking
45.4493706,9.2532814,zone4,restaurant
45.4676975,9.2323004,zone4,pharmacy
45.4452943,9.2131972,zone4,bar
45.4448182,9.2139457,zone4,restaurant
45.4443722,9.2146724,zone4,cafe
45.4436991,9.2161064,zone4,restaurant
45.4431226,9.217368,zone4,restaurant
45.4432205,9.2171025,zone4,fast_food
45.4439582,9.2155414,zone4,cafe
45.433041,9.2311594,zone4,nightclub
45.4555763,9.2208217,zone4,bicycle_parking
45.4622195,9.2261552,zone4,bicycle_parking
45.4413383,9.2209419,zone4,bicycle_parking
45.4416164,9.2211969,zone4,bicycle_parking
45.4440922,9.2160937,zone4,bicycle_parking
45.4616098,9.2326079,zone4,taxi
45.4676716,9.2230517,zone4,pub
45.4471385,9.2215767,zone4,nightclub
45.4536701,9.215598,zone4,pub
45.4516365,9.2049095,zone4,restaurant
45.4519271,9.2043152,zone4,restaurant
45.4520738,9.205018,zone4,restaurant
45.4512244,9.2060963,zone4,restaurant
45.4428204,9.2189047,zone4,restaurant
45.4433936,9.217669,zone4,cafe
45.4416547,9.2204427,zone4,cafe
45.4640663,9.2242211,zone4,drinking_water
45.4630494,9.2259045,zone4,drinking_water
45.4629508,9.2207483,zone4,drinking_water
45.4410074,9.2217571,zone4,restaurant
45.4409434,9.2218751,zone4,restaurant
45.4412585,9.2220406,zone4,cafe
45.4623356,9.2176495,zone4,pharmacy
45.4408208,9.2143595,zone4,taxi
45.4436732,9.2140686,zone4,restaurant
45.4517674,9.2094303,zone4,parking_entrance
45.4517295,9.2094117,zone4,parking_entrance
45.4516922,9.2094344,zone4,parking_entrance
45.4411476,9.2146149,zone4,telephone
45.4591133,9.2137858,zone4,restaurant
45.4591709,9.2136753,zone4,cafe
45.4585842,9.2133385,zone4,cafe
45.4591573,9.2138144,zone4,post_box
45.4579166,9.212767,zone4,restaurant
45.457542,9.2130036,zone4,pharmacy
45.4544415,9.2094294,zone4,taxi
45.4499539,9.2079552,zone4,car_rental
45.4578666,9.2234887,zone4,restaurant
45.4636423,9.2300088,zone4,bar
45.4648651,9.2300155,zone4,pub
45.4625476,9.2281885,zone4,bar
45.4641371,9.2304178,zone4,restaurant
45.4656881,9.2304286,zone4,bank
45.4676831,9.2299907,zone4,telephone
45.4533243,9.2089365,zone4,cafe
45.4470041,9.2146266,zone4,drinking_water
45.4475724,9.2140265,zone4,parking_entrance
45.4476834,9.2136465,zone4,parking_entrance
45.4439796,9.2237293,zone4,fuel
45.4504734,9.2217868,zone4,post_office
45.44949,9.226579,zone4,drinking_water
45.4503464,9.2248587,zone4,drinking_water
45.4617525,9.2205144,zone4,drinking_water
45.460995,9.2105817,zone4,cafe
45.4464478,9.2141581,zone4,drinking_water
45.4505732,9.2123682,zone4,cafe
