Latitude,Longitude,Zone,LandUse
45.4415886,9.2406431,zone4,residential
45.4366319,9.2659833,zone4,residential
45.4364079,9.2648059,zone4,residential
45.4359638,9.2630974,zone4,residential
45.4359939,9.2629498,zone4,residential
45.4366995,9.2627751,zone4,residential
45.4372537,9.2626312,zone4,residential
45.4380195,9.2624263,zone4,residential
45.4379862,9.2620568,zone4,residential
45.4383581,9.2618459,zone4,residential
45.4393328,9.2619075,zone4,residential
45.4394308,9.2619738,zone4,residential
45.4395937,9.2619996,zone4,residential
45.4404077,9.2617241,zone4,residential
45.4405929,9.2616821,zone4,residential
45.4407425,9.2616656,zone4,residential
45.4413274,9.261749,zone4,residential
45.4417161,9.2617557,zone4,residential
45.4420033,9.2617036,zone4,residential
45.442353,9.2616795,zone4,residential
45.4426286,9.2616822,zone4,residential
45.4427406,9.2616512,zone4,residential
45.4431281,9.2611671,zone4,residential
45.4432302,9.260968,zone4,residential
45.4433317,9.2606153,zone4,residential
45.4434314,9.2605424,zone4,residential
45.4440498,9.2605639,zone4,residential
45.4442395,9.2605322,zone4,residential
45.4443494,9.261329,zone4,residential
45.4444702,9.2622402,zone4,residential
45.4445273,9.2628225,zone4,residential
45.4445473,9.2632061,zone4,residential
45.4445437,9.2634386,zone4,residential
45.444484,9.2640141,zone4,residential
45.4443893,9.2652497,zone4,residential
45.444369,9.2656612,zone4,residential
45.4443191,9.2659674,zone4,residential
45.4442905,9.2664649,zone4,residential
45.442785,9.2663432,zone4,residential
45.4423394,9.2664119,zone4,residential
45.4413758,9.2660171,zone4,residential
45.4404763,9.2660286,zone4,residential
45.4384435,9.2660546,zone4,residential
45.4375845,9.2660169,zone4,residential
45.4366319,9.2659833,zone4,residential
45.4502519,9.2575163,zone4,industrial
45.4498418,9.2577455,zone4,industrial
45.449451,9.2579461,zone4,industrial
45.4484539,9.2556,zone4,industrial
45.448443,9.2555744,zone4,industrial
45.4486963,9.2552385,zone4,industrial
45.448975,9.2548687,zone4,industrial
45.4489612,9.2548367,zone4,industrial
45.4490978,9.2546554,zone4,industrial
45.4498266,9.2536635,zone4,industrial
45.4501535,9.2532185,zone4,industrial
45.4508243,9.2523144,zone4,industrial
45.4513665,9.2515836,zone4,industrial
45.4514352,9.2514963,zone4,industrial
45.4510882,9.2509713,zone4,industrial
45.4510536,9.2509234,zone4,industrial
45.4509855,9.2508147,zone4,industrial
45.4510673,9.2507036,zone4,industrial
45.4521009,9.2493009,zone4,industrial
45.4528267,9.2483341,zone4,industrial
45.4530824,9.2479923,zone4,industrial
45.4531529,9.247902,zone4,industrial
45.4532855,9.247723,zone4,industrial
45.4539707,9.2467978,zone4,industrial
45.454517,9.2476075,zone4,industrial
45.4546294,9.2477742,zone4,industrial
45.4548732,9.24814,zone4,industrial
45.4549726,9.2482886,zone4,industrial
45.4553998,9.24893,zone4,industrial
45.4554903,9.2490581,zone4,industrial
45.4557122,9.2493743,zone4,industrial
45.4554588,9.2497257,zone4,industrial
45.4557444,9.2501505,zone4,industrial
45.4561785,9.2507968,zone4,industrial
45.4567106,9.2515862,zone4,industrial
45.4569327,9.251904,zone4,industrial
45.4565173,9.2522379,zone4,industrial
45.4537062,9.2546113,zone4,industrial
45.453101,9.2550962,zone4,industrial
45.4529279,9.2552407,zone4,industrial
45.4523844,9.2556946,zone4,industrial
45.4519402,9.2560656,zone4,industrial
45.4517298,9.2562413,zone4,industrial
45.4510881,9.2567771,zone4,industrial
45.4507968,9.2570204,zone4,industrial
45.4502926,9.2573699,zone4,industrial
45.4502519,9.2575163,zone4,industrial
45.456032,9.2296685,zone4,commercial
45.4561335,9.2326863,zone4,commercial
45.4561524,9.233182,zone4,commercial
45.4561504,9.2332394,zone4,commercial
45.4560681,9.2355558,zone4,commercial
45.448624,9.2349215,zone4,commercial
45.4485321,9.2348488,zone4,commercial
45.4481058,9.2344631,zone4,commercial
45.4479807,9.2343248,zone4,commercial
45.4477497,9.2339609,zone4,commercial
45.4474383,9.2335152,zone4,commercial
45.4471549,9.2327401,zone4,commercial
45.4470911,9.2325091,zone4,commercial
45.4470324,9.2322107,zone4,commercial
45.4470119,9.2320179,zone4,commercial
45.4474531,9.2305354,zone4,commercial
45.4474407,9.2304757,zone4,commercial
45.4474853,9.2304094,zone4,commercial
45.4475174,9.2303692,zone4,commercial
45.4475582,9.2303346,zone4,commercial
45.4475991,9.2303091,zone4,commercial
45.4476476,9.2302909,zone4,commercial
45.447691,9.2302837,zone4,commercial
45.4477369,9.2302855,zone4,commercial
45.4477756,9.2302974,zone4,commercial
45.4480401,9.2304382,zone4,commercial
45.4480778,9.2304544,zone4,commercial
45.4481178,9.230464,zone4,commercial
45.4481525,9.2304651,zone4,commercial
45.4481901,9.2304587,zone4,commercial
45.4482248,9.2304501,zone4,commercial
45.4482565,9.2304382,zone4,commercial
45.4482904,9.2304168,zone4,commercial
45.4483243,9.2303888,zone4,commercial
45.4483597,9.2303534,zone4,commercial
45.4483914,9.2303115,zone4,commercial
45.4484142,9.2302721,zone4,commercial
45.4484315,9.2302244,zone4,commercial
45.4484452,9.2301836,zone4,commercial
45.4484613,9.2301129,zone4,commercial
45.4484737,9.2300704,zone4,commercial
45.4484899,9.2300226,zone4,commercial
45.4485097,9.2299713,zone4,commercial
45.4485271,9.2299412,zone4,commercial
45.4485507,9.2299094,zone4,commercial
45.4487787,9.2296446,zone4,commercial
45.4487998,9.2296269,zone4,commercial
45.4488258,9.2296127,zone4,commercial
45.4488556,9.2296003,zone4,commercial
45.4491336,9.229551,zone4,commercial
45.4496202,9.2295447,zone4,commercial
45.4500386,9.2295394,zone4,commercial
