Latitude,Longitude,Zone,GHI (kWh/m2)
45.4531121,9.254386,Zone 4,1418.4
45.46077,9.229031,Zone 4,1414.8
45.456002,9.2264461,Zone 4,1415.7
45.4654499,9.2352214,Zone 4,1414.3
45.433741,9.261914,Zone 4,1421.3
45.467475,9.225426,Zone 4,1413.4
45.4514986,9.2177751,Zone 4,1416.3
45.4394309,9.2247753,Zone 4,1418.9
45.4361376,9.2330093,Zone 4,1419.8
45.424426,9.25258,Zone 4,1422.1
45.456029,9.2300879,Zone 4,1416.1
45.4524328,9.2482719,Zone 4,1418.5
45.4243652,9.2496813,Zone 4,1422.1
45.465993,9.226917,Zone 4,1413.4
45.4501284,9.237563,Zone 4,1417.7
45.4676802,9.2100342,Zone 4,1411.5
45.4675161,9.213487,Zone 4,1411.7
45.4675139,9.2152835,Zone 4,1411.9
45.4676961,9.2227017,Zone 4,1412.6
45.4677821,9.2228676,Zone 4,1412.6
45.4656535,9.2213141,Zone 4,1412.8
45.4547927,9.2164769,Zone 4,1415.6
45.4541489,9.2159819,Zone 4,1415.6
45.4558756,9.2056971,Zone 4,1414.4
45.4377429,9.2202272,Zone 4,1418.8
45.4642402,9.2647178,Zone 4,1417.3
45.4403912,9.2245851,Zone 4,1418.5
45.4579694,9.2130712,Zone 4,1414.1
45.4661627,9.2158498,Zone 4,1412.5
45.4417643,9.2192915,Zone 4,1418.3
45.4433678,9.21776,Zone 4,1417.8
45.4454268,9.2129678,Zone 4,1417.1
45.4482227,9.2217984,Zone 4,1417
45.440611,9.2178811,Zone 4,1418.3
45.4405617,9.2175278,Zone 4,1418.3
45.4489554,9.2110082,Zone 4,1416.4
45.4616401,9.2079373,Zone 4,1413.3
45.4509905,9.2241225,Zone 4,1416.8
45.4623402,9.2165141,Zone 4,1413.7
45.4571654,9.2426606,Zone 4,1417.1
45.4593923,9.2165519,Zone 4,1414.3
45.4623167,9.2281249,Zone 4,1414.8
45.4544307,9.2135749,Zone 4,1415.5
45.4534733,9.2154232,Zone 4,1415.6
45.4535888,9.2148764,Zone 4,1415.5
45.4620731,9.21983,Zone 4,1413.8
45.4560476,9.2050227,Zone 4,1414.4
45.4593444,9.2079474,Zone 4,1413.9
45.4574286,9.2220273,Zone 4,1415.3
45.4566161,9.2235358,Zone 4,1415.5
45.4421086,9.2304175,Zone 4,1419
45.4612043,9.2118913,Zone 4,1413.4
45.4315575,9.2450366,Zone 4,1421
45.436159,9.2406837,Zone 4,1420.1
45.4360737,9.2399615,Zone 4,1420
45.4320489,9.2441254,Zone 4,1421
45.4358912,9.2402861,Zone 4,1420.1
45.4357481,9.2406348,Zone 4,1420.1
45.4380288,9.2436236,Zone 4,1419.8
45.4369113,9.2418632,Zone 4,1420.1
45.4455154,9.2431072,Zone 4,1418.8
45.4350027,9.2357673,Zone 4,1419.9
45.4299182,9.2574378,Zone 4,1421.7
45.4284698,9.2549158,Zone 4,1421.6
45.4282197,9.2545198,Zone 4,1421.6
45.4301452,9.257861,Zone 4,1421.5
45.429321,9.2576931,Zone 4,1421.8
45.4502614,9.2128248,Zone 4,1416
45.4417478,9.218683,Zone 4,1418.3
45.4557377,9.2173558,Zone 4,1415
45.4522965,9.220793,Zone 4,1416.4
45.4392043,9.2162831,Zone 4,1418.6
45.4387658,9.2161785,Zone 4,1418.6
45.4402649,9.2219958,Zone 4,1418.4
45.4619892,9.2283974,Zone 4,1414.8
45.4628035,9.2275554,Zone 4,1414.1
45.4619632,9.2279965,Zone 4,1414.8
45.4624149,9.227407,Zone 4,1414.5
45.4619637,9.2276161,Zone 4,1414.8
45.4623323,9.2329266,Zone 4,1415.2
45.4638732,9.2279976,Zone 4,1414.1
45.4619906,9.2289756,Zone 4,1414.8
45.4624369,9.2327984,Zone 4,1415.2
45.4623717,9.2102351,Zone 4,1413.4
45.4605052,9.2094385,Zone 4,1413.3
45.4623849,9.2104889,Zone 4,1413.4
45.4650309,9.2114668,Zone 4,1412.1
45.4633974,9.2303916,Zone 4,1414.5
45.4676397,9.2248773,Zone 4,1412.6
45.4551759,9.2125108,Zone 4,1414.8
45.4537105,9.2156412,Zone 4,1415.6
45.4523127,9.2201994,Zone 4,1416.4
45.4444758,9.2144425,Zone 4,1417.6
45.4545359,9.2147232,Zone 4,1415.5
45.4545265,9.2145515,Zone 4,1415.5
45.4544985,9.2145669,Zone 4,1415.5
45.439838,9.2214511,Zone 4,1418.8
45.4497746,9.2206042,Zone 4,1417
45.4510346,9.2247088,Zone 4,1416.8
45.4499602,9.2067428,Zone 4,1416.2
45.4621603,9.2124871,Zone 4,1413.4
45.4635044,9.2079437,Zone 4,1412.7
45.4281368,9.2543688,Zone 4,1421.6
45.4629733,9.2387909,Zone 4,1415.1
45.4302669,9.2579801,Zone 4,1421.5
45.4654403,9.2075164,Zone 4,1412
45.4389616,9.2245824,Zone 4,1418.9
45.4525484,9.2151177,Zone 4,1415.6
45.4535211,9.2161289,Zone 4,1415.6
45.4550526,9.2158714,Zone 4,1415
45.4523978,9.2146671,Zone 4,1416
45.4549764,9.2129948,Zone 4,1415.5
45.4475113,9.2128998,Zone 4,1416.6
45.4480306,9.2131747,Zone 4,1416.6
45.4623071,9.2163984,Zone 4,1413.7
45.4541446,9.2063806,Zone 4,1415
45.4521321,9.203347,Zone 4,1415.5
45.434703,9.236079,Zone 4,1420.3
45.458827,9.224495,Zone 4,1414.9
45.4493706,9.2532814,Zone 4,1419.2
45.4676975,9.2323004,Zone 4,1413.4
45.4452943,9.2131972,Zone 4,1417.1
45.4448182,9.2139457,Zone 4,1417.6
45.4443722,9.2146724,Zone 4,1417.6
45.4436991,9.2161064,Zone 4,1417.7
45.4431226,9.217368,Zone 4,1417.7
45.4432205,9.2171025,Zone 4,1417.7
45.4439582,9.2155414,Zone 4,1417.7
45.433041,9.2311594,Zone 4,1420
45.4555763,9.2208217,Zone 4,1415.3
45.4622195,9.2261552,Zone 4,1414.5
45.4413383,9.2209419,Zone 4,1418.4
45.4416164,9.2211969,Zone 4,1418.4
45.4440922,9.2160937,Zone 4,1417.7
45.4616098,9.2326079,Zone 4,1415.2
45.4676716,9.2230517,Zone 4,1412.6
45.4471385,9.2215767,Zone 4,1417.5
45.4536701,9.215598,Zone 4,1415.6
45.4516365,9.2049095,Zone 4,1415.5
45.4519271,9.2043152,Zone 4,1415.5
45.4520738,9.205018,Zone 4,1415.7
45.4512244,9.2060963,Zone 4,1415.7
45.4428204,9.2189047,Zone 4,1417.8
45.4433936,9.217669,Zone 4,1417.8
45.4416547,9.2204427,Zone 4,1418.4
45.4640663,9.2242211,Zone 4,1413.7
45.4630494,9.2259045,Zone 4,1413.8
45.4629508,9.2207483,Zone 4,1413.5
45.4410074,9.2217571,Zone 4,1418.4
45.4409434,9.2218751,Zone 4,1418.4
45.4412585,9.2220406,Zone 4,1418.4
45.4623356,9.2176495,Zone 4,1413.8
45.4408208,9.2143595,Zone 4,1417.9
45.4436732,9.2140686,Zone 4,1417.6
45.4517674,9.2094303,Zone 4,1415.8
45.4517295,9.2094117,Zone 4,1415.8
45.4516922,9.2094344,Zone 4,1415.8
45.4411476,9.2146149,Zone 4,1417.9
45.4591133,9.2137858,Zone 4,1414.1
45.4591709,9.2136753,Zone 4,1414.1
45.4585842,9.2133385,Zone 4,1414.1
45.4591573,9.2138144,Zone 4,1414.1
45.4579166,9.212767,Zone 4,1414.1
45.457542,9.2130036,Zone 4,1414.1
