Latitude,Longitude,Zone,CH4_column_volume_mixing_ratio_dry_air,CO_column_number_density,tropospheric_HCHO_column_number_density,NO2_column_number_density,O3_column_number_density,SO2_column_number_density
45.48020804,9.200042083,zone4,1907.31781,0.034241772,0.000126624,0.000146734,0.14195874,7.67E-05
45.48020804,9.210042129,zone4,1907.70857,0.033991107,0.00012741,0.00014706,0.141972344,7.27E-05
45.48020804,9.220042175,zone4,1906.041046,0.03405453,0.000130329,0.000146905,0.141978064,7.59E-05
45.48020804,9.230042221,zone4,1907.31781,0.033991129,0.000129961,0.000146618,0.142105112,4.82E-05
45.48020804,9.240042266,zone4,1907.31781,0.034009903,0.00013252,0.000142945,0.142146555,1.38E-05
45.48020804,9.250042312,zone4,1907.726654,0.034106866,0.000126914,0.000143165,0.14228642,1.81E-05
45.48020804,9.260042358,zone4,1908.486206,0.034228054,0.00013347,0.000141923,0.142307833,4.56E-05
45.48020804,9.270042404,zone4,1908.476652,0.034344307,0.000140382,0.00014295,0.142305918,4.58E-05
45.47020799,9.200042083,zone4,1907.743408,0.033991107,0.000118576,0.00014415,0.141870356,7.29E-05
45.47020799,9.210042129,zone4,1907.743408,0.033897146,0.000126578,0.000143976,0.141904807,0.000108844
45.47020799,9.220042175,zone4,1907.351318,0.033881473,0.000117317,0.000143275,0.141897351,7.54E-05
45.47020799,9.230042221,zone4,1905.798837,0.033881473,0.000126537,0.000142455,0.141969981,4.31E-05
45.47020799,9.240042266,zone4,1905.68242,0.033824378,0.000148704,0.000142942,0.142300321,1.98E-05
45.47020799,9.250042312,zone4,1907.694617,0.033945438,0.000141849,0.000142961,0.142373861,1.57E-05
45.47020799,9.260042358,zone4,1908.244444,0.034113166,0.000141975,0.00013902,0.142403249,4.03E-05
45.47020799,9.270042404,zone4,1908.117493,0.034105238,0.000141836,0.000138903,0.14235424,7.67E-05
45.46020795,9.200042083,zone4,1908.677215,0.033896282,0.000113049,0.000142157,0.142234217,9.64E-05
45.46020795,9.210042129,zone4,1907.890443,0.033895199,0.000123148,0.000139936,0.14224519,9.44E-05
45.46020795,9.220042175,zone4,1907.351318,0.0338185,0.000126539,0.000138974,0.142370712,9.58E-05
45.46020795,9.230042221,zone4,1905.052795,0.033740064,0.000141478,0.000139301,0.142599804,5.29E-05
45.46020795,9.240042266,zone4,1906.9037,0.033742521,0.000141178,0.000139135,0.142327054,3.07E-05
45.46020795,9.250042312,zone4,1907.486144,0.033875727,0.000141197,0.000139197,0.142625215,4.96E-05
45.46020795,9.260042358,zone4,1906.968773,0.033891051,0.000129331,0.000139199,0.142360991,7.35E-05
45.46020795,9.270042404,zone4,1908.117493,0.033949808,0.000132804,0.000139316,0.142337086,0.000109071
45.4502079,9.200042083,zone4,1908.836942,0.033817536,0.00011755,0.000138507,0.142888715,9.47E-05
45.4502079,9.210042129,zone4,1908.431858,0.033739946,0.000124092,0.000138555,0.142291463,9.16E-05
45.4502079,9.220042175,zone4,1907.613439,0.033878039,0.000117674,0.000138466,0.142341373,9.72E-05
45.4502079,9.230042221,zone4,1906.950187,0.033874251,0.000126243,0.000139067,0.142194623,4.83E-05
45.4502079,9.240042266,zone4,1905.663478,0.033867277,0.000141726,0.00013936,0.141922002,4.75E-05
45.4502079,9.250042312,zone4,1905.727258,0.033730823,0.000132682,0.000139317,0.142361505,7.69E-05
45.4502079,9.260042358,zone4,1906.210327,0.033725401,0.000125686,0.000135375,0.142898572,7.65E-05
45.4502079,9.270042404,zone4,1906.324725,0.033878755,0.000132587,0.000135569,0.142335095,0.000106618
45.44020786,9.200042083,zone4,1907.328162,0.034114469,0.000109989,0.000135545,0.142279342,8.88E-05
45.44020786,9.210042129,zone4,1905.95964,0.03393422,0.000117684,0.000135459,0.14228908,8.49E-05
45.44020786,9.220042175,zone4,1905.741122,0.033951801,0.000124502,0.0001366,0.142502489,9.31E-05
45.44020786,9.230042221,zone4,1905.672058,0.033886175,0.000125707,0.000135419,0.142000828,2.87E-05
45.44020786,9.240042266,zone4,1905.672058,0.03386892,0.00012505,0.000135529,0.141879026,1.47E-05
45.44020786,9.250042312,zone4,1905.672058,0.033864817,0.000138439,0.000135711,0.142422576,1.70E-05
45.44020786,9.260042358,zone4,1906.210327,0.03387695,0.000141877,0.000135617,0.142393948,2.43E-05
45.44020786,9.270042404,zone4,1906.898079,0.033740031,0.000131296,0.000135345,0.142393029,2.19E-05
45.43020781,9.200042083,zone4,1907.000966,0.034095919,0.000110626,0.000133621,0.142268967,8.68E-05
45.43020781,9.210042129,zone4,1906.210327,0.033884139,0.000110747,0.000132723,0.142342392,3.10E-05
45.43020781,9.220042175,zone4,1906.210327,0.03400102,0.000113244,0.000134316,0.142589598,6.45E-05
45.43020781,9.230042221,zone4,1905.951565,0.033985441,0.000111238,0.000135525,0.142331816,3.06E-05
45.43020781,9.240042266,zone4,1907.807294,0.033995969,0.000121701,0.000135673,0.141864446,-3.86E-05
45.43020781,9.250042312,zone4,1906.815907,0.033995969,0.000125961,0.000135372,0.142375215,2.90E-05
45.43020781,9.260042358,zone4,1908.963417,0.033854831,0.000125435,0.000131239,0.142362837,2.80E-05
45.43020781,9.270042404,zone4,1907.306436,0.033876103,0.000127331,0.000131521,0.142436668,2.29E-05
45.42020776,9.200042083,zone4,1906.805351,0.034002836,0.000110928,0.000132668,0.142417896,0.00010285
45.42020776,9.210042129,zone4,1906.779247,0.034006786,0.000109714,0.000132585,0.142802722,2.80E-05
45.42020776,9.220042175,zone4,1906.779773,0.034000775,0.000110111,0.000132655,0.142348689,3.29E-05
45.42020776,9.230042221,zone4,1907.474135,0.03400452,0.000110929,0.000132764,0.142362943,2.88E-05
45.42020776,9.240042266,zone4,1907.877197,0.033998188,0.000110498,0.00013289,0.142454376,2.82E-05
45.42020776,9.250042312,zone4,1907.620032,0.034004537,0.000117172,0.000134328,0.141922474,3.02E-05
45.42020776,9.260042358,zone4,1907.645695,0.034002269,0.000106546,0.000133093,0.141881507,2.97E-05
45.42020776,9.270042404,zone4,1907.344201,0.033941569,0.000110564,0.000130682,0.142347625,2.83E-05
