Latitude,Longitude,Zone,Land-Use
45.5351562,9.1645907,zone9,industrial
45.5203516,9.2172354,zone9,industrial
45.5200754,9.2182527,zone9,industrial
45.5200182,9.2184013,zone9,industrial
45.5199826,9.2185744,zone9,industrial
45.5196546,9.2183116,zone9,industrial
45.5194936,9.2187458,zone9,industrial
45.5185337,9.2179763,zone9,industrial
45.5181207,9.217657,zone9,industrial
45.5181878,9.2174111,zone9,industrial
45.5185102,9.2162289,zone9,industrial
45.5185496,9.2162635,zone9,industrial
45.5185932,9.2162878,zone9,industrial
45.5202805,9.2171975,zone9,industrial
45.5203516,9.2172354,zone9,industrial
45.5257021,9.2146061,zone9,industrial
45.5283389,9.2160906,zone9,industrial
45.5283735,9.2161477,zone9,industrial
45.5283787,9.2162588,zone9,industrial
45.5275715,9.2181361,zone9,industrial
45.5296212,9.219706,zone9,industrial
45.5285641,9.222464,zone9,industrial
45.5286016,9.2226893,zone9,industrial
45.5285716,9.2231238,zone9,industrial
45.5285077,9.2233706,zone9,industrial
45.5282362,9.224071,zone9,industrial
45.5282465,9.2243455,zone9,industrial
45.5283048,9.2244931,zone9,industrial
45.5283799,9.2246352,zone9,industrial
45.5287172,9.225172,zone9,industrial
45.528767,9.2256974,zone9,industrial
45.5286943,9.2257695,zone9,industrial
45.5284776,9.2259844,zone9,industrial
45.5283663,9.2257453,zone9,industrial
45.528295,9.2258568,zone9,industrial
45.5282049,9.2259917,zone9,industrial
45.5280847,9.2262624,zone9,industrial
45.5274283,9.2257898,zone9,industrial
45.5264022,9.2249817,zone9,industrial
45.5254259,9.2242359,zone9,industrial
45.5248107,9.2237833,zone9,industrial
45.524003,9.2231305,zone9,industrial
45.5233749,9.2225582,zone9,industrial
45.5233564,9.2224124,zone9,industrial
45.5232755,9.2219203,zone9,industrial
45.52306,9.221677,zone9,industrial
45.5257021,9.2146061,zone9,industrial
45.5237823,9.218753,zone9,industrial
45.523178,9.2203808,zone9,industrial
45.5233388,9.220497,zone9,industrial
45.5230026,9.2214214,zone9,industrial
45.5228687,9.2213174,zone9,industrial
45.522797,9.2215065,zone9,industrial
45.5206956,9.2194147,zone9,industrial
45.5202577,9.2190337,zone9,industrial
45.520379,9.2186275,zone9,industrial
45.5204492,9.2183923,zone9,industrial
45.520535,9.2184525,zone9,industrial
45.5205612,9.2183672,zone9,industrial
45.5207055,9.2184662,zone9,industrial
45.5213093,9.2168685,zone9,industrial
45.5214718,9.2169923,zone9,industrial
45.5237823,9.218753,zone9,industrial
45.5251192,9.2157811,zone9,industrial
45.524061,9.2187742,zone9,industrial
45.5225684,9.2175913,zone9,industrial
45.5225788,9.217554,zone9,industrial
45.5234357,9.2144947,zone9,industrial
45.5251192,9.2157811,zone9,industrial
45.5116116,9.2005154,zone9,grass
45.5121857,9.2008424,zone9,grass
45.5126893,9.1990273,zone9,grass
45.512672,9.1989889,zone9,grass
45.512732,9.1987734,zone9,grass
45.5121754,9.1984837,zone9,grass
45.5116116,9.2005154,zone9,grass
45.5122189,9.1983016,zone9,grass
45.5127774,9.1986104,zone9,grass
45.5133075,9.1967067,zone9,grass
45.512752,9.1965089,zone9,grass
45.512701,9.1965526,zone9,grass
45.5122189,9.1983016,zone9,grass
45.4976556,9.1851891,zone9,grass
45.4977105,9.1861364,zone9,grass
45.4977272,9.1861728,zone9,grass
45.4977571,9.1861917,zone9,grass
45.4981445,9.186085,zone9,grass
45.4980912,9.185127,zone9,grass
45.4980469,9.1850175,zone9,grass
